model,pollutant,horizon_h,R2,RMSE,MAE,MAPE(%),family
GRU,NO2(GT),24,-0.3806037060417799,58.990871688369296,45.70229945096103,31.066253084787395,RNN
Naive,NO2(GT),24,-1.2108586209301715,74.46532763805524,58.72064777327935,42.62060741435735,Other
LSTM_nn48,NO2(GT),24,-3.744538721894344,109.7693902638533,90.48690757851855,63.28485829552504,RNN
GRU_nn48,NO2(GT),24,-5.835579133847511,131.75645818579602,115.4393762075034,80.88450966017385,RNN
ExtraTrees,NOx(GT),24,0.3483679011604037,157.85497964427933,114.2775472334683,48.149216322075965,Tree
Ridge,NOx(GT),24,0.2859943416189858,165.2372196499129,118.18398383162022,43.14532585459726,Linear/Kernel
LinearSVR,NOx(GT),24,0.2856443001763989,165.27771847985252,118.19883960806558,43.11236240618228,Linear/Kernel
Lasso,NOx(GT),24,0.2852789072537589,165.3199828504271,118.25093259638469,43.14325995287552,Linear/Kernel
ElasticNet,NOx(GT),24,0.2750965589482763,166.49344233396522,118.50040127189712,42.800419215663446,Linear/Kernel
GBDT,NOx(GT),24,0.2681964461707079,167.28396323763857,124.95581301291658,55.69662784622095,Tree
RandomForest,NOx(GT),24,0.2558763225405376,168.6862228636666,122.74395111710902,52.44659005563443,Tree
LinearRegression,NOx(GT),24,-0.052536012520622,200.6206042212166,145.68670459402176,44.70723491743004,Linear/Kernel
MLP,NOx(GT),24,-0.1297521317129066,207.8493337461425,160.5178093877611,74.23814758347433,Other
DecisionTree,NOx(GT),24,-0.1911003865381819,213.41809292261516,161.07787290965652,68.61368327699527,Tree
GRU_nn48,NOx(GT),24,-0.3475479585243592,227.80647561508653,174.30147666186917,67.86463741631682,RNN
LSTM,NOx(GT),24,-0.521831451309684,241.84092665368465,170.2558556435325,54.49149313361804,RNN
GRU,NOx(GT),24,-0.5228810880697372,241.92431347391695,170.32587834444914,54.48799358084633,RNN
Naive,NOx(GT),24,-0.9607090354734008,273.819029650334,199.60953666216824,62.99074071579407,Other
LSTM_nn48,NOx(GT),24,-1.3490026726946387,300.77082383720284,229.6553524670273,73.74067253004498,RNN
