model,pollutant,horizon_h,RMSE,MAE,MAPE(%),R2,n_test,fit_time_s,best_params,n_train,params
DecisionTree,NO2(GT),12,49.653046858963,38.62916022666727,32.670139031675575,0.012675211352795701,2235.0,0.42035865783691406,,7086.0,
RandomForest,NO2(GT),12,38.20102295007315,29.417912005965693,24.83421824223526,0.41558921811086413,2235.0,8.509862184524536,,7086.0,
ExtraTrees,NO2(GT),12,36.82593679178903,28.009606263982104,23.027962990349618,0.45690495405521303,2235.0,4.15726375579834,,7086.0,
GBDT,NO2(GT),12,37.641845823879066,29.130602193586668,24.590872760717872,0.43257292101541156,2235.0,45.56337857246399,,7086.0,
DecisionTree,NO2(GT),24,56.62910602586888,44.009110688777824,36.57833451209558,-0.27859256123702103,2223.0,0.4138319492340088,,7086.0,
RandomForest,NO2(GT),24,40.04932646484082,30.287137501874344,25.335947182147457,0.36049610294775913,2223.0,7.989804744720459,,7086.0,
ExtraTrees,NO2(GT),24,38.434427317032565,29.153983355825456,24.133955463889713,0.4110294348185488,2223.0,4.083810329437256,,7086.0,
GBDT,NO2(GT),24,37.90077583357944,28.957629320555675,23.514774792435137,0.4272712793382133,2223.0,45.6873676776886,,7086.0,
MLP,CO(GT),1,0.6495864901349937,0.4804775348353802,38.0143613579323,0.7583331196773218,2246.0,1.415125846862793,,7086.0,"{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'solver': 'adam', 'learning_rate_init': 0.001, 'batch_size': 256, 'max_iter': 400, 'early_stopping': True, 'n_iter_no_change': 20, 'random_state': 42, 'verbose': False}"
LinearSVR,CO(GT),1,0.6751557999492582,0.513622639591224,45.90378511129662,0.7389334840109243,2246.0,0.4343912601470947,,7086.0,"{'epsilon': 0.0, 'C': 1.0, 'loss': 'squared_epsilon_insensitive', 'max_iter': 5000, 'random_state': 42}"
MLP,CO(GT),6,1.1789067957443526,0.9164360538778901,80.28302424804585,0.20553475544469535,2241.0,2.0888288021087646,,7086.0,"{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'solver': 'adam', 'learning_rate_init': 0.001, 'batch_size': 256, 'max_iter': 400, 'early_stopping': True, 'n_iter_no_change': 20, 'random_state': 42, 'verbose': False}"
LinearSVR,CO(GT),6,1.1287430417103175,0.9114045770826793,91.49191517829179,0.2717070051556554,2241.0,0.5183510780334473,,7086.0,"{'epsilon': 0.0, 'C': 1.0, 'loss': 'squared_epsilon_insensitive', 'max_iter': 5000, 'random_state': 42}"
MLP,CO(GT),12,1.4344656434989065,1.1482974032919058,109.04538464984338,-0.17414119163659625,2235.0,2.6142425537109375,,7086.0,"{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'solver': 'adam', 'learning_rate_init': 0.001, 'batch_size': 256, 'max_iter': 400, 'early_stopping': True, 'n_iter_no_change': 20, 'random_state': 42, 'verbose': False}"
LinearSVR,CO(GT),12,1.1415267062597854,0.9148965692976102,94.91288084034754,0.25644658083063276,2235.0,0.49497199058532715,,7086.0,"{'epsilon': 0.0, 'C': 1.0, 'loss': 'squared_epsilon_insensitive', 'max_iter': 5000, 'random_state': 42}"
MLP,CO(GT),24,1.995036803715883,1.6382431301691043,160.73911785313558,-1.2653331823388925,2223.0,2.6845476627349854,,7086.0,"{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'solver': 'adam', 'learning_rate_init': 0.001, 'batch_size': 256, 'max_iter': 400, 'early_stopping': True, 'n_iter_no_change': 20, 'random_state': 42, 'verbose': False}"
LinearSVR,CO(GT),24,1.215475723166076,0.9799685641940715,105.99522780113698,0.1591416503831936,2223.0,0.5176301002502441,,7086.0,"{'epsilon': 0.0, 'C': 1.0, 'loss': 'squared_epsilon_insensitive', 'max_iter': 5000, 'random_state': 42}"
MLP,C6H6(GT),1,3.293550229305754,2.4586710739417144,51.400953292495124,0.7330916796289908,2246.0,2.0556302070617676,,7086.0,"{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'solver': 'adam', 'learning_rate_init': 0.001, 'batch_size': 256, 'max_iter': 400, 'early_stopping': True, 'n_iter_no_change': 20, 'random_state': 42, 'verbose': False}"
LinearSVR,C6H6(GT),1,3.4187025627345635,2.5814785519323493,55.61711831933932,0.7124216649278519,2246.0,0.3754723072052002,,7086.0,"{'epsilon': 0.0, 'C': 1.0, 'loss': 'squared_epsilon_insensitive', 'max_iter': 5000, 'random_state': 42}"
